,region_id2,calBP,mean_kde,lo10_kde,hi90_kde,StKDE,StKDE_lo,StKDE_hi,PeriodID
3241,SW Wyoming (12),5050,0.0071129117849295,0.00642594836035758,0.00778777007036052,0.917209041443562,0.818715970430836,1.01396654359428,Early Archaic
3242,SW Wyoming (12),5020,0.00739446821224981,0.00672237748735254,0.00805378163202721,0.957577067161131,0.861216362753103,1.05210583121323,Early Archaic
3243,SW Wyoming (12),4990,0.00760447301062038,0.00692170336396751,0.00831637710149303,0.987686410364978,0.889794620368996,1.08975533815435,Early Archaic
3244,SW Wyoming (12),4960,0.0076903570795957,0.0070528348841819,0.00838354509031482,1,0.908595542907966,1.0993855182428,Early Archaic
3245,SW Wyoming (12),4930,0.00764885670075457,0.00699571302149616,0.00832120771528722,0.994049901910278,0.90040572162106,1.09044792522733,Early Archaic
3246,SW Wyoming (12),4900,0.00748288285447991,0.00677793865929393,0.00816439752827466,0.970253476594663,0.869182420708785,1.06796533542341,Early Archaic
3247,SW Wyoming (12),4870,0.00719352100514804,0.00655490023566639,0.00780729342226478,0.928766352018303,0.837204387365011,1.01676569536384,Early Archaic
3248,SW Wyoming (12),4840,0.00682001896219733,0.00624911930718878,0.00743609831487809,0.87521566514925,0.793363184725073,0.9635457643403,Early Archaic
3249,SW Wyoming (12),4810,0.00645193334760989,0.00589433180727567,0.00709299138804334,0.822441556252674,0.74249568701929,0.914352963528886,Early Archaic
3250,SW Wyoming (12),4780,0.00617432859933038,0.00564584975641219,0.00682330927298429,0.782640100734424,0.706869685101741,0.875687411973611,Early Archaic
3251,SW Wyoming (12),4750,0.00601003917338737,0.00544472893593045,0.00657400525635887,0.759085178423781,0.678034078218901,0.839943561085849,Early Archaic
3252,SW Wyoming (12),4720,0.00593247301663587,0.00533294441385698,0.00648324717415225,0.747964165700475,0.662007022808247,0.826931162003138,Early Archaic
3253,SW Wyoming (12),4690,0.00590870043999885,0.0053475895723934,0.00643740234556707,0.744555783252276,0.664106765804928,0.820358180391751,Early Archaic
3254,SW Wyoming (12),4660,0.00591464092939282,0.00536059663594689,0.00646169404388296,0.745407498238552,0.665971647672604,0.82384099167641,Early Archaic
3255,SW Wyoming (12),4630,0.00592731156999367,0.00538689618795451,0.00644701374981324,0.7472241456172,0.66974233407429,0.821736211138498,Early Archaic
3256,SW Wyoming (12),4600,0.00591375179429447,0.00531513331147129,0.00648805708185306,0.745280018895038,0.659453364040779,0.827620780349319,Early Archaic
3257,SW Wyoming (12),4570,0.0058360696561485,0.00519472241592733,0.00648044230303612,0.734142377391636,0.642189506226358,0.826529014872532,Early Archaic
3258,SW Wyoming (12),4540,0.0056794933868665,0.00501510469215683,0.00637167301065964,0.711693325436782,0.616436896131437,0.810934266659094,Early Archaic
3259,SW Wyoming (12),4510,0.00547693666392207,0.00481623784523284,0.00611256560586504,0.68265184668629,0.587924451690356,0.773784859416254,Early Archaic
3260,SW Wyoming (12),4480,0.00528570928106888,0.00471647852219032,0.00583563231462371,0.655234706959128,0.573621503764516,0.734079673747865,Early Archaic
3261,SW Wyoming (12),4450,0.00514434269096464,0.00453024901586687,0.00569524359450813,0.634966335893171,0.546920932329567,0.713951504350278,Early Archaic
3262,SW Wyoming (12),4420,0.00505753232753684,0.00455099017436166,0.00558133853247374,0.622519939209006,0.549894686569519,0.697620417479601,Early Archaic
3263,SW Wyoming (12),4390,0.00501202398439518,0.00446347044735825,0.00554233305383822,0.615995201046249,0.537346585202794,0.69202802458106,Early Archaic
3264,SW Wyoming (12),4360,0.00499110284565395,0.00442683502892464,0.00554465586088044,0.612995642219676,0.532093998616236,0.692361055992594,Early Archaic
3265,SW Wyoming (12),4330,0.00498228780398823,0.00444842430561984,0.00546851786894798,0.611731789598552,0.535189351420468,0.681444805755775,Early Archaic
3266,SW Wyoming (12),4300,0.00498681069430953,0.00453520017619094,0.00543380812233435,0.61238025695746,0.54763080270687,0.676468311497466,Early Archaic
3267,SW Wyoming (12),4270,0.00501361556891643,0.00448051324712169,0.0054685318006995,0.616223393758796,0.539790088928487,0.681446803214362,Early Archaic
3268,SW Wyoming (12),4240,0.00505677999828849,0.00442846201515651,0.00560726100829087,0.622412074342505,0.53232726703307,0.701337040752628,Early Archaic
3269,SW Wyoming (12),4210,0.0050891502196427,0.00451977486902852,0.00569188216136471,0.627053140222431,0.545419206252971,0.713469560390154,Early Archaic
3270,SW Wyoming (12),4180,0.00508410426797201,0.00449364234337263,0.00561023010073305,0.626329679178581,0.541672467179094,0.701762733041752,Early Archaic
3271,SW Wyoming (12),4150,0.00504009148015613,0.00444513861970036,0.00561249242473062,0.620019365585803,0.534718267684395,0.702087092724054,Early Archaic
3272,SW Wyoming (12),4120,0.00498026403925135,0.00440959491467552,0.00557388265496999,0.611441633242605,0.529622205015195,0.69655143440689,Early Archaic
3273,SW Wyoming (12),4090,0.00492865171650292,0.00435676365810029,0.00550776166318352,0.604041739758085,0.522047547443289,0.687071367045931,Early Archaic
3274,SW Wyoming (12),4060,0.00489042547507342,0.00437251298365563,0.00543791523564933,0.598561069642335,0.524305599888064,0.677057167015708,Early Archaic
3275,SW Wyoming (12),4030,0.00485519499340163,0.00437088540469622,0.00537585443884078,0.593509915230039,0.524072246489186,0.668159228277587,Early Archaic
3276,SW Wyoming (12),4000,0.0048066810827795,0.00430076217319728,0.00536141459484734,0.586554255186,0.514018359815423,0.666088922160861,Early Archaic
3277,SW Wyoming (12),3970,0.00472415366059111,0.00423788661400338,0.00525249494912501,0.574721923269402,0.505003604887954,0.650472617104306,Early Archaic
3278,SW Wyoming (12),3940,0.00458395112730665,0.00414557515830957,0.00503681178500497,0.554620448324712,0.491768491582462,0.619549140773434,Early Archaic
3279,SW Wyoming (12),3910,0.00437045336774299,0.0040022968152108,0.00478000304648087,0.524010303385969,0.471226023793574,0.582729303769877,Early Archaic
3280,SW Wyoming (12),3880,0.00409137171338337,0.00370816181323127,0.00451250663543388,0.483997097124922,0.429054550610192,0.544377126541055,Early Archaic
3281,SW Wyoming (12),3850,0.00378465341626881,0.00337539949797891,0.00425879693417258,0.44002149967964,0.381344903816503,0.508001612606644,Early Archaic
3282,SW Wyoming (12),3820,0.0035068657249388,0.00306564703985112,0.00395254527023003,0.400193814784077,0.336934284905083,0.464092918481836,Early Archaic
3283,SW Wyoming (12),3790,0.003303978941769,0.00287570173544634,0.00370660693203243,0.371105013797708,0.309700962596939,0.428831620219934,Early Archaic
3284,SW Wyoming (12),3760,0.00319287886967057,0.00278575758742696,0.00357350428243087,0.355176091093375,0.296805260961044,0.409748087894529,Early Archaic
3285,SW Wyoming (12),3730,0.00316283258894775,0.00278456253767932,0.00356731157909917,0.35086821915282,0.29663392124273,0.408860211848742,Early Archaic
