,LabID,Age,Error,Material,Taxa,d13C,Method,Longitude,Latitude,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,calib
33741,Beta-217719,5740,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-10637,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
33742,Beta-217720,1900,50,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-10637,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
33743,Beta-217721,1750,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-10637,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
33744,Beta-217728,1800,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-10637,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
33745,Beta-217729,1510,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-10637,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
33746,Beta-217730,680,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-14448,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
33747,Beta-217731,400,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-14448,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
33748,Beta-217733,710,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-16404,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
33749,Beta-217734,740,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-16404,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
33750,Beta-217735,590,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-16404,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
33751,Beta-217736,840,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-16407,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
33752,Beta-217737,900,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-16407,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
