"DateID","LabID","CRA","Error","Material","Species","SiteID","SiteName","Longitude","Latitude","Region"
226311,"AA-18156",4275,70,"charcoal","Alnus",824,"Biggar Common East",-3.5426,55.6393,"Scotland"
226312,"AA-18157",4130,65,"charcoal","Corylus",824,"Biggar Common East",-3.5426,55.6393,"Scotland"
200103,"AA-18519",1895,60,"seeds (waterlogged)",,958,"Brixwold",-3.0914,55.8688,"Scotland"
200104,"AA-18520",1880,60,"seeds (waterlogged)",,958,"Brixwold",-3.0914,55.8688,"Scotland"
200105,"AA-18521",2190,60,"seeds (waterlogged)",,958,"Brixwold",-3.0914,55.8688,"Scotland"
2159,"AA-19618",7220,60,"charcoal",,960,"Bulcliffe Wood, Netherton, Sitlington, Wakefield",-1.5731,53.6411,"NWEnglandWales"
4102,"AA-19619",1945,40,"charcoal",,960,"Bulcliffe Wood, Netherton, Sitlington, Wakefield",-1.5731,53.6411,"NWEnglandWales"
200107,"AA-19620",4245,50,"charcoal","Quercus",1005,"CleAvenue dyke",-3.3435,56.5492,"Scotland"
200108,"AA-19633",215,70,"grain (charred)","Hordeum vulgare",1012,"Fishers Road West (Seton West Mains)",-2.9529,55.9666,"Scotland"
200109,"AA-19634",245,95,"grain (charred)","Avena",1012,"Fishers Road West (Seton West Mains)",-2.9529,55.9666,"Scotland"
200110,"AA-19635",2135,55,"grain (charred)","Hordeum vulgare",1012,"Fishers Road West (Seton West Mains)",-2.9529,55.9666,"Scotland"
200111,"AA-19636",2330,80,"grain (charred)","Hordeum vulgare",1012,"Fishers Road West (Seton West Mains)",-2.9529,55.9666,"Scotland"
200112,"AA-19637",2120,55,"grain (charred)","Hordeum vulgare",1012,"Fishers Road West (Seton West Mains)",-2.9529,55.9666,"Scotland"
200113,"AA-19638",2105,55,"grain (charred)","Triticum aestivum/compactum",1012,"Fishers Road West (Seton West Mains)",-2.9529,55.9666,"Scotland"
200114,"AA-19639",2110,55,"grain (charred)","Hordeum vulgare",1015,"Seton West Mains (aka Fishers Road West)",-2.9529,55.9666,"Scotland"
200115,"AA-19640",2035,80,"grain (charred)","Hordeum vulgare",1012,"Fishers Road West (Seton West Mains)",-2.9529,55.9666,"Scotland"
200116,"AA-19641",2204,75,"charcoal","Salix,Corylus",1012,"Fishers Road West (Seton West Mains)",-2.9529,55.9666,"Scotland"
200117,"AA-19642",1975,55,"grain (charred)","Hordeum vulgare",1012,"Fishers Road West (Seton West Mains)",-2.9529,55.9666,"Scotland"
200118,"AA-19643",2110,80,"grain (charred)","Hordeum vulgare",1012,"Fishers Road West (Seton West Mains)",-2.9529,55.9666,"Scotland"
200119,"AA-19644",1900,55,"grain (charred)","Hordeum vulgare",1012,"Fishers Road West (Seton West Mains)",-2.9529,55.9666,"Scotland"
200120,"AA-19645",1130,50,"grain (charred)","Cerealia",1012,"Fishers Road West (Seton West Mains)",-2.9529,55.9666,"Scotland"
200121,"AA-19646",1670,50,"grain (charred)","Hordeum vulgare",1012,"Fishers Road West (Seton West Mains)",-2.9529,55.9666,"Scotland"
200122,"AA-19647",945,95,"grain (charred)","Cerealia",1012,"Fishers Road West (Seton West Mains)",-2.9529,55.9666,"Scotland"
200123,"AA-19846",665,45,"bone",,1041,"Cosmeston",-3.1848,51.4122,"NWEnglandWales"
215474,"AA-20409",5130,60,"charcoal","Quercus",1081,"Cowrie Road, Bannockburn",-3.9028,56.0892,"Scotland"
215475,"AA-20410",5145,80,"charcoal","Quercus",1081,"Cowrie Road, Bannockburn",-3.9028,56.0892,"Scotland"
215476,"AA-20411",5135,70,"charcoal","Quercus",1081,"Cowrie Road, Bannockburn",-3.9028,56.0892,"Scotland"
215477,"AA-20412",4830,60,"charcoal","Corylus avellana",1081,"Cowrie Road, Bannockburn",-3.9028,56.0892,"Scotland"
215478,"AA-20413",6530,75,"nutshell (charred)","Corylus avellana",1109,"Bannockburn",-3.9046,56.0894,"Scotland"
200124,"AA-20414",4490,110,"charcoal","Quercus",1118,"Bannockburn West (Cowie Road)",-3.9046,56.0894,"Scotland"
200125,"AA-20415",4530,50,"charcoal","Quercus",1118,"Bannockburn West (Cowie Road)",-3.9046,56.0894,"Scotland"
200126,"AA-21247",1760,55,"grain (charred)","Hordeum vulgare",1119,"Dalkeith",-3.0487,55.9111,"Scotland"
200127,"AA-21248",2220,70,"tissue (leather)","animal",1123,"Redcastle",-4.3623,57.5086,"Scotland"
200128,"AA-21251",2740,55,"charcoal","Corylus avellana",1124,"Balnuaran of Clava, South-west",-4.0746,57.4726,"Scotland"
200129,"AA-21252",2770,55,"charcoal","Corylus avellana",1124,"Balnuaran of Clava, South-west",-4.0746,57.4726,"Scotland"
200130,"AA-21253",2790,60,"charcoal","Corylus avellana",1124,"Balnuaran of Clava, South-west",-4.0746,57.4726,"Scotland"
200131,"AA-21254",2765,60,"charcoal","Corylus avellana",1124,"Balnuaran of Clava, South-west",-4.0746,57.4726,"Scotland"
215479,"AA-21255",6410,80,"charcoal","Corylus avellana",1125,"Balnuaran of Clava, Centre",-4.0741,57.473,"Scotland"
200132,"AA-21256",3605,75,"charcoal","Corylus avellana",1125,"Balnuaran of Clava, Centre",-4.0741,57.473,"Scotland"
200133,"AA-21257",2990,70,"charcoal","Betula",1125,"Balnuaran of Clava, Centre",-4.0741,57.473,"Scotland"
200134,"AA-21258",1445,130,"charcoal","Betula",1125,"Balnuaran of Clava, Centre",-4.0741,57.473,"Scotland"
200135,"AA-21259",1290,95,"charcoal","Corylus avellana",1125,"Balnuaran of Clava, Centre",-4.0741,57.473,"Scotland"
215480,"AA-21260",6670,85,"charcoal","Pinus",1125,"Balnuaran of Clava, Centre",-4.0741,57.473,"Scotland"
200136,"AA-21261",2855,70,"charcoal","Corylus avellana",1124,"Balnuaran of Clava, South-west",-4.0746,57.4726,"Scotland"
215481,"AA-21618",3455,60,"grain (charred)","Cerealia",1131,"Staosnaig, Scalasaig, Colonsay",-6.1984,56.0611,"Scotland"
215482,"AA-21619",7760,55,"nutshell (charred)","Corylus avellana",1131,"Staosnaig, Scalasaig, Colonsay",-6.1984,56.0611,"Scotland"
215483,"AA-21620",7040,55,"nutshell (charred)","Corylus avellana",1131,"Staosnaig, Scalasaig, Colonsay",-6.1984,56.0611,"Scotland"
