"","LabID","Age","Error","Material","Taxa","d13C","Method","Longitude","Latitude","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference","calib"
"135664","RL-492",2810,180,"charcoal",NA,NA,"Radiometric",-68.8309,-16.4332,2,NA,NA,"Chiripa","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Browman 1998:323","shcal20"
"135665","RL-493",2820,110,"charcoal",NA,NA,"Radiometric",-68.8309,-16.4332,2,NA,NA,"Chiripa","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Browman 1998:323","shcal20"
"135666","RL-494",2850,110,"charcoal",NA,NA,"Radiometric",-68.8309,-16.4332,2,NA,NA,"Chiripa","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Browman 1998:323","shcal20"
"135667","RL-495",3170,120,"charcoal",NA,NA,"Radiometric",-68.8309,-16.4332,2,NA,NA,"Chiripa","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Browman 1998:323","shcal20"
"135668","RL-496",3190,120,"charcoal",NA,NA,"Radiometric",-68.8309,-16.4332,2,NA,NA,"Chiripa","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Browman 1998:323","shcal20"
"138134","S-598",2650,95,"charcoal",NA,NA,NA,-74.216423,-13.172183,2,NA,NA,"Wichqana","Peru",NA,"South America","Goldberg_2016","McCallum and Dyck 1960; Fox 1978; Kenyon 1959","shcal20"
"138486","S-ANU30232",1560,77,"Bone",NA,NA,NA,-70.334806,-18.754722,2,NA,NA,"Caleta Vitor 6","Chile",NA,"South America","SCAR","Swift et al. 2015","shcal20"
"138487","S-ANU30233",1000,25,"Bone",NA,NA,NA,-70.334806,-18.754722,2,NA,NA,"Caleta Vitor 6","Chile",NA,"South America","SCAR","Swift et al. 2015","shcal20"
"138488","S-ANU30739",1848,25,"Bone",NA,NA,NA,-70.334806,-18.754722,2,NA,NA,"Caleta Vitor 6","Chile",NA,"South America","SCAR","Wringler D.  2014. Antiquity 88: 30-46.","shcal20"
"138489","S-ANU33420",990,39,"Bone",NA,NA,NA,-70.334806,-18.754722,2,NA,NA,"Caleta Vitor 3","Chile",NA,"South America","SCAR","Wringler D.  2014. Antiquity 88: 30-46.","shcal20"
"139432","SI-3114",6060,60,"Charcoal",NA,NA,NA,-69.971111,-19.548889,2,NA,NA,"Tiliviche 1-B","Chile",NA,"South America","SCAR","Nunez y Moragas 1977-1978","shcal20"
"139433","SI-3115",6905,65,"Charcoal",NA,NA,NA,-69.971111,-19.548889,2,NA,NA,"Tiliviche 1-B","Chile",NA,"South America","SCAR","Brown 1967; Long and Mielke 1967: 372","shcal20"
"139656","SI-5053",5185,170,"Charcoal",NA,NA,NA,-69.971111,-19.548889,2,NA,NA,"Tiliviche 1-B","Chile",NA,"South America","SCAR","Nunez 1986","shcal20"
"139657","SI-5054",6710,95,"Charcoal",NA,NA,NA,-69.971111,-19.548889,2,NA,NA,"Tiliviche 1-B","Chile",NA,"South America","SCAR","Nunez 1986","shcal20"
"139658","SI-5056",4670,140,"Charcoal",NA,NA,NA,-69.971111,-19.548889,2,NA,NA,"Tiliviche 1-B","Chile",NA,"South America","SCAR","Nunez 1986","shcal20"
"139659","SI-5057",2365,115,"Charcoal",NA,NA,NA,-69.971111,-19.548889,2,NA,NA,"Tiliviche 1-B","Chile",NA,"South America","SCAR","Stuckenrath & Mielke 1972","shcal20"
"139779","SI-6783",10575,105,"shell",NA,NA,NA,-71.351753,-17.693119,1,NA,NA,"Ring Site","Peru",NA,"South America","Pratesetal2020","Richardson 1986","shcal20"
"139780","SI-6784",7675,60,"shell",NA,NA,NA,-71.351753,-17.693119,1,NA,NA,"Ring Site","Peru",NA,"South America","Pratesetal2020; SCAR","Bozell and Winfrey 1994; Reeves 1983: 270; Long 1965: 246; Grange 1980; Piepgras and Stipp 1977: 119; Faunmap 792","shcal20"
"139798","SI-6866",6125,95,"Charcoal",NA,NA,NA,-69.637975,-20.607799,2,NA,NA,"Cerros Pintados 2","Chile",NA,"South America","SCAR","Ziolkowski et al 1994","shcal20"
"139803","SI-6930",7810,105,"shell",NA,NA,NA,-71.351753,-17.693119,1,NA,NA,"Ring Site","Peru",NA,"South America","Pratesetal2020; SCAR","Sandweiss et al 1989","shcal20"
"139804","SI-6931",8755,120,"shell",NA,NA,NA,-71.351753,-17.693119,1,NA,NA,"Ring Site","Peru",NA,"South America","Pratesetal2020; SCAR","Moss and Erlandson 1998; Moss et al. 1989","shcal20"
"140063","SMU-1920",1201,96,"charcoal",NA,NA,"Radiometric",-68.712583,-16.437615,3,NA,NA,"Lukurmata","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Bermann 1994:266","shcal20"
"140096","SMU-2117",1086,60,"charcoal",NA,NA,"Radiometric",-68.712583,-16.437615,3,NA,NA,"Lukurmata","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Janusek 1994:221","shcal20"
"140099","SMU-2165",1000,230,"charcoal",NA,NA,"Radiometric",-68.712583,-16.437615,3,NA,NA,"Lukurmata","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Kolata 1996:51","shcal20"
"140120","SMU-2276",1073,57,"charcoal",NA,NA,"Radiometric",-68.669135,-16.556965,3,NA,NA,"Tiwanaku","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Albarracin-Jordan & Mathews 1990:132","shcal20"
"140121","SMU-2277",1134,60,"charcoal",NA,NA,"Radiometric",-68.669135,-16.556965,3,NA,NA,"Tiwanaku","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Albarracin-Jordan & Mathews 1990:132","shcal20"
"140122","SMU-2289",1185,56,"charcoal",NA,NA,"Radiometric",-68.669135,-16.556965,3,NA,NA,"Tiwanaku","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Albarracin-Jordan & Mathews 1990:132","shcal20"
