taxon,part,site,region,age BC,calBP,DomTrait,stdev,stdev, PerDom,PerCrops,References
einkorn,rachis,Cafer Hoyuk III-VIII,North FC,-7575,-9525,0.53,0.105,,0.526,0.673,De Moulins 1997; Allaby et al 2017
einkorn,rachis,El Kowm 2,Levant North,-6675,-8625,1,0,,1,0.18,De Moulins 1997; Allaby et al 2017
einkorn,rachis,Catal Hoyuk East,Anatolia Central,-6660,-8610,0.95,0,,0.946,0.7,Fairbarin et al. 2022; Allaby et al. 2017
emmer,rachis,Netiv Hagdud,Levant South,-9080,-11030,0,0,,0,0.303,Kislev 1997; Allaby et al 2017
emmer,rachis,el-Hemmeh (PPNA),Levant South,-8905,-10855,0,0,,0,0.584,White and Makarewicz 2012; Allaby et al 2017
emmer,rachis,Tell Qarassa,Levant South,-8590,-10540,0.211,"0.001
",,0.211,"0.321
",Arranz-Otaegui et al. 2016a; Allaby et al 2017
emmer,rachis,Aswad (I),Levant South,-8300,-10250,0.23,0.006,,0.23,0.749,Tanno and Willcox 2012; Allaby et al 2017
emmer,rachis,Chogha Golan,East FC,-8200,-10150,0.563,0.167,,0.56,0.163,Weide et al. 2015; Allaby et al 2017
emmer,rachis,Asikli Hoyuk,Anatolia Central,-7670,-9620,0.45,0.17,,0.45,0.0393,Tanno and Willcox 2012; Allaby et al 2017
emmer,rachis,Salat Cami Yani,North FC,-6345,-8295,0.98,0.048,,0.98,0.844,Tanno and Willcox 2012; Allaby et al 2017
